,AR,Yell,,,,Dardanelle,72834,8319,,,,,,,Bethel,Road,,,,14095,,,,,,,,,,-93.225905999999995,35.251173000000001,15SVV7944800921,{6F659108-5482-407E-827F-E16666102F9D},Residential,Unknown,Arkansas Geographic Information Office,149,,3/15/2014 0:00:00,,,495
,AR,Yell,,,,Dardanelle,72834,8567,,,,,,,Old Cain,Loop,,,,10397,,,,,,,,,,-93.167083079999998,35.110679040000001,15SVU8477385329,{11730818-641C-4094-85E9-72359ED20E81},Residential,Unknown,Arkansas Geographic Information Office,149,,3/15/2014 0:00:00,,,3009
,AR,Yell,,,,Dardanelle,72834,0000,,,,North,,,State Highway 28,,,,,10296,,,,,,,,,,-93.241429920000002,35.117305020000003,15SVU7800086078,{4288BD3E-C4BB-4578-B64C-00D59D5F6C86},Residential,Unknown,Arkansas Geographic Information Office,149,,3/15/2014 0:00:00,,,5076
,AR,Yell,,,,Plainview,72857,8932,,,,,,,State Highway 60,,,,,11730,,,,,,,,,,-93.272618879999996,34.973652960000003,15SVU7511570155,{B90BFC28-1480-4C6F-8FDF-ED3FD122AD70},Residential,Unknown,Arkansas Geographic Information Office,149,,3/15/2014 0:00:00,,,5626
,AR,Yell,Dardanelle,,,Dardanelle,72834,3147,,,,,,,Cherry,Street,,,,703,,,,,,,,,,-93.165981840000001,35.227511730000003,15SVU8489598286,{1ADA5E1F-5C5B-4895-BEFA-D888ABFEE289},Residential,Unknown,Arkansas Geographic Information Office,149,,3/15/2014 0:00:00,,,9444
,AR,Woodruff,Hunter,,,Hunter,72074,0000,,,,South,,,Front,Street,,,,366,,,,,,,,,,-91.126062630000007,35.050703660000003,15SXU7090480271,{9FD45840-378E-4DD7-829D-3510ABA8E223},Residential,Unknown,Arkansas Geographic Information Office,147,,3/23/2016 0:00:00,,,11730
,AR,Woodruff,Cotton Plant,,,Cotton Plant,72036,0000,,,,West,,,Lynch,Street,,,,125,,,,,,,,,,-91.251173050000006,35.002923760000002,15SXU5958674764,{833C4F28-0D8E-464C-A9F4-EF74587C3BA1},Commercial,Unknown,Arkansas Geographic Information Office,147,,3/23/2016 0:00:00,,,15338
,AR,White,,,,Searcy,72143,7069,,,,,,,Janie,Lane,,,,112,,,,,,,,,,-91.952211730000002,35.283886590000002,15SWV9528205029,{6A3475E7-297B-4E22-826F-BB64E8B4F0EE},Residential,Unknown,Arkansas Geographic Information Office,145,,6/8/2018 0:00:00,,,15587
,AR,White,,,,Beebe,72012,9755,,,,,,,Underhill,Road,,,,204,,,,,,,,,,-91.915103200000004,35.117306380000002,15SWU9885986590,{6B1A0452-DF2D-4E39-AA58-91F4C917269D},Residential,Unknown,Arkansas Geographic Information Office,145,,6/8/2018 0:00:00,,,17277
,AR,White,,,,Rose Bud,72137,8009,,,,,,,Silver Creek,Court,,,,113,,,,,,,,,,-92.019111730000006,35.291348520000000,15SWV8919005794,{9F07E617-8C8A-4BBA-ACA4-2C0AADB7A040},Residential,Unknown,Arkansas Geographic Information Office,145,,6/8/2018 0:00:00,,,17728
